Id,weekly_Sales
1_5_2013-02-22,30642.53
1_5_2013-03-01,25492.21
1_5_2013-03-08,25442.13
1_5_2013-03-15,25492.21
1_5_2013-03-22,25492.21
1_5_2013-03-29,25442.13
1_5_2013-04-05,25492.21
1_5_2013-04-12,19298.42
1_5_2013-04-19,17170.39
1_5_2013-04-26,21376.42
1_5_2013-05-03,42995.57
1_5_2013-05-10,41458.02
1_5_2013-05-17,37445.96
1_5_2013-05-24,35328.8
1_5_2013-05-31,36373.69
1_5_2013-06-07,36070.92
1_5_2013-06-14,35328.8
1_5_2013-06-21,36070.92
1_5_2013-06-28,36070.92
1_5_2013-07-05,36070.92
1_5_2013-07-12,37946.59
1_5_2013-07-19,36373.69
1_5_2013-07-26,40981.28
1_6_2012-11-02,3527.62
1_6_2012-11-09,3527.62
1_6_2012-11-16,3168.68
1_6_2012-11-23,22902.42
1_6_2012-11-30,13470.84
1_6_2012-12-07,6387.85
1_6_2012-12-14,10022.4
1_6_2012-12-21,16984.8
1_6_2012-12-28,7765.82
1_6_2013-01-04,2460.92
1_6_2013-01-11,2460.92
1_6_2013-01-18,2163.84
1_6_2013-01-25,1994.04
1_6_2013-02-01,3412.58
1_6_2013-02-08,3448.92
1_6_2013-02-15,3788.59
1_6_2013-02-22,3565.09
1_6_2013-03-01,3492.04
1_6_2013-03-08,3412.58
1_6_2013-03-15,3412.58
1_6_2013-03-22,3412.58
1_6_2013-03-29,3412.58
1_6_2013-04-05,3203.46
1_6_2013-04-12,2770.52
1_6_2013-04-19,3038.61
1_6_2013-04-26,2984.21
1_6_2013-05-03,8031.09
1_6_2013-05-10,7114.5
1_6_2013-05-17,7340.66
1_6_2013-05-24,7324.41
1_6_2013-05-31,7145.1
1_6_2013-06-07,7324.41
1_6_2013-06-14,7340.66
1_6_2013-06-21,7436.28
1_6_2013-06-28,6919.68
1_6_2013-07-05,7827.51
1_6_2013-07-12,8031.09
1_6_2013-07-19,7069.97
1_6_2013-07-26,6700.22
1_7_2012-11-02,21937.45
1_7_2012-11-09,21449.85
1_7_2012-11-16,24182.96
1_7_2012-11-23,71151.34
1_7_2012-11-30,54219.77
1_7_2012-12-07,58226.56
1_7_2012-12-14,61954.44
1_7_2012-12-21,119302.15
1_7_2012-12-28,46217.85
1_7_2013-01-04,11228.15
1_7_2013-01-11,9333.43
1_7_2013-01-18,10189.61
1_7_2013-01-25,11228.15
1_7_2013-02-01,21019.7
1_7_2013-02-08,21619.05
1_7_2013-02-15,16849.62
1_7_2013-02-22,16849.62
1_7_2013-03-01,16617.21
1_7_2013-03-08,20212.71
1_7_2013-03-15,19864.88
1_7_2013-03-22,21302.3
1_7_2013-03-29,20212.71
1_7_2013-04-05,21358.48
1_7_2013-04-12,18704.53
1_7_2013-04-19,19180.11
1_7_2013-04-26,20212.71
1_7_2013-05-03,50907.48
1_7_2013-05-10,48527.77
1_7_2013-05-17,48498.92
1_7_2013-05-24,55940.53
1_7_2013-05-31,54519.93
1_7_2013-06-07,53098.23
1_7_2013-06-14,54156.73
1_7_2013-06-21,54156.73
1_7_2013-06-28,52184.74
1_7_2013-07-05,55763.78
1_7_2013-07-12,44949.14
1_7_2013-07-19,44949.14
1_7_2013-07-26,41561.44
1_8_2012-11-02,41039.74
1_8_2012-11-09,38531.76
1_8_2012-11-16,38317.89
1_8_2012-11-23,33243.85
1_8_2012-11-30,33243.85
1_8_2012-12-07,38226.32
1_8_2012-12-14,36961.11
1_8_2012-12-21,41864.0
1_8_2012-12-28,32419.78
1_8_2013-01-04,40069.47
1_8_2013-01-11,37295.29
1_8_2013-01-18,37248.47
1_8_2013-01-25,36981.9
1_8_2013-02-01,40236.23
1_8_2013-02-08,40069.47
1_8_2013-02-15,37817.25
1_8_2013-02-22,37745.71
1_8_2013-03-01,40236.23
1_8_2013-03-08,38666.21
1_8_2013-03-15,37745.71
1_8_2013-03-22,37817.25
1_8_2013-03-29,37745.71
1_8_2013-04-05,40236.23
1_8_2013-04-12,37745.71
1_8_2013-04-19,38531.76
1_8_2013-04-26,38531.76
1_8_2013-05-03,63423.92
1_8_2013-05-10,62826.34
1_8_2013-05-17,60205.79
1_8_2013-05-24,60205.79
1_8_2013-05-31,61588.78
1_8_2013-06-07,62173.0
1_8_2013-06-14,61952.95
1_8_2013-06-21,60312.08
1_8_2013-06-28,57975.15
1_8_2013-07-05,61952.95
1_8_2013-07-12,59340.87
1_8_2013-07-19,60312.08
1_8_2013-07-26,58526.02
1_9_2012-11-02,47275.64
1_9_2012-11-09,37670.13
1_9_2012-11-16,37670.13
1_9_2012-11-23,42228.79
1_9_2012-11-30,42228.79
1_9_2012-12-07,40439.53
1_9_2012-12-14,27192.39
1_9_2012-12-21,47275.64
1_9_2012-12-28,27192.39
1_9_2013-01-04,18799.82
1_9_2013-01-11,15416.12
1_9_2013-01-18,14728.57
1_9_2013-01-25,14728.57
1_9_2013-02-01,19427.31
1_9_2013-02-08,20985.41
1_9_2013-02-15,20705.21
1_9_2013-02-22,20985.41
1_9_2013-03-01,27078.81
1_9_2013-03-08,27860.95
1_9_2013-03-15,28475.86
1_9_2013-03-22,37941.84
1_9_2013-03-29,29338.57
1_9_2013-04-05,28388.25
1_9_2013-04-12,28043.48
1_9_2013-04-19,28111.87
1_9_2013-04-26,28388.25
1_9_2013-05-03,62491.87
1_9_2013-05-10,62491.87
1_9_2013-05-17,67604.28
1_9_2013-05-24,60299.11
1_9_2013-05-31,68718.13
1_9_2013-06-07,71592.66
1_9_2013-06-14,69962.48
1_9_2013-06-21,64883.08
1_9_2013-06-28,63525.63
1_9_2013-07-05,58453.3
1_9_2013-07-12,60299.97
1_9_2013-07-19,58573.82
1_9_2013-07-26,58573.82
1_10_2012-11-02,27822.4
1_10_2012-11-09,27822.4
1_10_2012-11-16,28013.63
1_10_2012-11-23,30877.51
1_10_2012-11-30,30877.51
1_10_2012-12-07,30816.81
1_10_2012-12-14,30434.19
1_10_2012-12-21,30877.51
1_10_2012-12-28,26147.46
1_10_2013-01-04,25331.83
1_10_2013-01-11,25331.83
1_10_2013-01-18,24500.27
1_10_2013-01-25,23650.22
1_10_2013-02-01,36155.27
1_10_2013-02-08,37764.38
1_10_2013-02-15,37764.38
1_10_2013-02-22,35800.66
1_10_2013-03-01,33834.22
1_10_2013-03-08,32563.54
1_10_2013-03-15,33367.99
1_10_2013-03-22,35800.66
1_10_2013-03-29,35800.66
1_10_2013-04-05,35800.66
1_10_2013-04-12,30339.17
1_10_2013-04-19,33135.34
1_10_2013-04-26,31563.06
1_10_2013-05-03,42661.13
1_10_2013-05-10,42465.27
1_10_2013-05-17,42661.13
1_10_2013-05-24,43637.06
1_10_2013-05-31,44387.97
1_10_2013-06-07,45649.04
1_10_2013-06-14,45117.98
1_10_2013-06-21,44255.06
1_10_2013-06-28,47753.37
1_10_2013-07-05,44674.36
1_10_2013-07-12,44255.06
1_10_2013-07-19,44255.06
1_10_2013-07-26,44255.06
1_11_2012-11-02,26269.87
1_11_2012-11-09,21880.47
1_11_2012-11-16,23541.72
1_11_2012-11-23,28315.7
1_11_2012-11-30,28315.7
1_11_2012-12-07,27918.08
1_11_2012-12-14,27918.08
1_11_2012-12-21,31435.36
1_11_2012-12-28,25666.34
1_11_2013-01-04,24213.18
1_11_2013-01-11,24493.4
1_11_2013-01-18,20886.48
1_11_2013-01-25,20707.62
1_11_2013-02-01,24493.4
1_11_2013-02-08,24493.4
1_11_2013-02-15,25666.34
1_11_2013-02-22,23286.46
1_11_2013-03-01,23286.46
1_11_2013-03-08,23286.46
1_11_2013-03-15,23286.46
1_11_2013-03-22,25231.25
1_11_2013-03-29,24350.67
1_11_2013-04-05,23286.46
1_11_2013-04-12,21874.45
1_11_2013-04-19,21857.09
1_11_2013-04-26,21762.46
1_11_2013-05-03,30858.91
1_11_2013-05-10,30858.91
1_11_2013-05-17,31556.89
1_11_2013-05-24,31510.69
1_11_2013-05-31,32266.84
1_11_2013-06-07,31670.38
1_11_2013-06-14,33090.57
1_11_2013-06-21,34573.65
1_11_2013-06-28,34023.43
1_11_2013-07-05,33129.25
1_11_2013-07-12,33509.44
1_11_2013-07-19,28293.58
1_11_2013-07-26,30711.02
1_12_2012-11-02,9612.87
1_12_2012-11-09,9964.78
1_12_2012-11-16,8983.82
1_12_2012-11-23,6757.66
1_12_2012-11-30,6757.66
1_12_2012-12-07,8311.17
1_12_2012-12-14,7587.6
1_12_2012-12-21,7587.6
1_12_2012-12-28,7324.7
1_12_2013-01-04,7642.11
1_12_2013-01-11,8111.01
1_12_2013-01-18,7786.87
1_12_2013-01-25,9296.13
1_12_2013-02-01,9612.87
1_12_2013-02-08,9612.87
1_12_2013-02-15,8111.01
1_12_2013-02-22,9015.37
1_12_2013-03-01,9593.0
1_12_2013-03-08,9964.78
1_12_2013-03-15,11762.08
1_12_2013-03-22,12178.8
1_12_2013-03-29,9874.94
1_12_2013-04-05,11542.81
1_12_2013-04-12,11730.26
1_12_2013-04-19,11556.42
1_12_2013-04-26,11641.86
1_12_2013-05-03,9802.48
1_12_2013-05-10,9611.25
1_12_2013-05-17,9611.25
1_12_2013-05-24,9267.35
1_12_2013-05-31,9874.94
1_12_2013-06-07,9698.68
1_12_2013-06-14,9606.33
1_12_2013-06-21,9559.02
1_12_2013-06-28,9890.17
1_12_2013-07-05,9214.82
1_12_2013-07-12,9606.33
1_12_2013-07-19,9802.48
1_12_2013-07-26,9611.25
1_13_2012-11-02,42304.47
1_13_2012-11-09,41907.62
1_13_2012-11-16,38446.26
1_13_2012-11-23,38371.99
1_13_2012-11-30,37507.93
1_13_2012-12-07,37507.93
1_13_2012-12-14,32871.95
1_13_2012-12-21,37099.47
1_13_2012-12-28,32871.95
1_13_2013-01-04,39764.56
1_13_2013-01-11,38015.36
1_13_2013-01-18,37857.68
1_13_2013-01-25,37838.4
1_13_2013-02-01,43041.97
1_13_2013-02-08,43041.97
1_13_2013-02-15,39276.05
1_13_2013-02-22,39077.84
1_13_2013-03-01,40001.72
1_13_2013-03-08,40001.72
1_13_2013-03-15,38341.15
1_13_2013-03-22,38696.88
1_13_2013-03-29,38322.83
1_13_2013-04-05,40423.95
1_13_2013-04-12,38322.83
1_13_2013-04-19,38322.83
1_13_2013-04-26,38322.83
1_13_2013-05-03,65805.06
1_13_2013-05-10,65217.78
1_13_2013-05-17,64347.82
1_13_2013-05-24,60612.0
1_13_2013-05-31,61171.36
1_13_2013-06-07,65282.71
1_13_2013-06-14,63458.42
1_13_2013-06-21,62263.84
1_13_2013-06-28,61171.36
1_13_2013-07-05,62758.04
1_13_2013-07-12,64363.1
1_13_2013-07-19,64363.1
1_13_2013-07-26,61171.36
1_14_2012-11-02,14332.72
1_14_2012-11-09,14381.21
1_14_2012-11-16,17803.49
1_14_2012-11-23,38256.98
1_14_2012-11-30,32576.61
1_14_2012-12-07,25815.45
1_14_2012-12-14,24888.03
1_14_2012-12-21,46096.24
1_14_2012-12-28,25846.86
1_14_2013-01-04,14311.83
1_14_2013-01-11,14311.83
1_14_2013-01-18,12889.88
1_14_2013-01-25,12695.7
1_14_2013-02-01,15647.59
1_14_2013-02-08,16528.29
1_14_2013-02-15,18574.25
1_14_2013-02-22,18574.25
1_14_2013-03-01,16528.29
1_14_2013-03-08,15858.78
1_14_2013-03-15,14287.28
1_14_2013-03-22,14690.27
1_14_2013-03-29,14490.48
1_14_2013-04-05,14333.75
1_14_2013-04-12,14186.59
1_14_2013-04-19,13423.3
1_14_2013-04-26,13136.1
1_14_2013-05-03,32481.09
1_14_2013-05-10,32172.88
1_14_2013-05-17,31937.06
1_14_2013-05-24,32481.09
1_14_2013-05-31,31421.25
1_14_2013-06-07,31937.06
1_14_2013-06-14,32172.88
1_14_2013-06-21,32172.88
1_14_2013-06-28,31421.25
1_14_2013-07-05,33754.13
1_14_2013-07-12,32172.88
1_14_2013-07-19,32481.09
1_14_2013-07-26,32481.09
1_16_2012-11-02,6560.94
1_16_2012-11-09,5913.03
1_16_2012-11-16,5036.94
1_16_2012-11-23,7589.67
1_16_2012-11-30,5715.31
1_16_2012-12-07,8400.69
1_16_2012-12-14,5024.36
1_16_2012-12-21,6063.75
1_16_2012-12-28,5052.77
1_16_2013-01-04,6108.82
1_16_2013-01-11,6108.82
1_16_2013-01-18,6108.82
1_16_2013-01-25,6108.82
1_16_2013-02-01,9873.73
1_16_2013-02-08,12648.11
1_16_2013-02-15,12648.11
1_16_2013-02-22,12648.11
1_16_2013-03-01,18477.53
1_16_2013-03-08,27388.55
1_16_2013-03-15,42922.55
1_16_2013-03-22,45184.22
1_16_2013-03-29,42679.2
1_16_2013-04-05,45184.22
1_16_2013-04-12,43970.7
1_16_2013-04-19,42549.38
1_16_2013-04-26,41926.36
1_16_2013-05-03,44967.61
1_16_2013-05-10,39629.37
1_16_2013-05-17,43778.36
1_16_2013-05-24,46427.46
1_16_2013-05-31,45433.34
1_16_2013-06-07,42413.67
1_16_2013-06-14,41073.11
1_16_2013-06-21,40418.88
1_16_2013-06-28,38677.38
1_16_2013-07-05,39267.56
1_16_2013-07-12,31421.25
1_16_2013-07-19,30849.37
1_16_2013-07-26,29286.04
1_17_2012-11-02,7640.92
1_17_2012-11-09,7908.36
1_17_2012-11-16,7908.36
1_17_2012-11-23,14357.47
1_17_2012-11-30,11642.24
1_17_2012-12-07,11642.24
1_17_2012-12-14,10884.17
1_17_2012-12-21,14357.47
1_17_2012-12-28,10619.45
1_17_2013-01-04,7904.59
1_17_2013-01-11,7904.59
1_17_2013-01-18,7611.94
1_17_2013-01-25,7611.94
1_17_2013-02-01,8128.57
1_17_2013-02-08,8710.04
1_17_2013-02-15,10057.41
1_17_2013-02-22,9728.55
1_17_2013-03-01,9646.1
1_17_2013-03-08,9478.85
1_17_2013-03-15,8480.12
1_17_2013-03-22,7908.36
1_17_2013-03-29,7868.25
1_17_2013-04-05,7767.43
1_17_2013-04-12,7640.92
1_17_2013-04-19,7386.64
1_17_2013-04-26,7456.66
1_17_2013-05-03,26169.15
1_17_2013-05-10,26788.88
1_17_2013-05-17,26788.88
1_17_2013-05-24,25925.83
1_17_2013-05-31,25751.41
1_17_2013-06-07,26788.88
1_17_2013-06-14,26788.88
1_17_2013-06-21,26122.58
1_17_2013-06-28,25086.9
1_17_2013-07-05,26767.17
1_17_2013-07-12,26658.0
1_17_2013-07-19,26122.58
1_17_2013-07-26,24867.42
1_18_2012-11-02,11012.74
1_18_2012-11-09,9754.95
1_18_2012-11-16,11933.07
1_18_2012-11-23,29217.08
1_18_2012-11-30,26406.31
1_18_2012-12-07,82779.39
1_18_2012-12-14,26217.35
1_18_2012-12-21,26801.45
1_18_2012-12-28,21444.65
1_18_2013-01-04,5642.44
1_18_2013-01-11,3334.69
1_18_2013-01-18,1622.9
1_18_2013-01-25,1781.8
1_18_2013-02-01,4086.77
1_18_2013-02-08,12243.31
1_18_2013-02-15,12687.47
1_18_2013-02-22,2764.58
1_18_2013-03-01,1126.04
1_18_2013-03-08,1126.04
1_18_2013-03-15,1585.87
1_18_2013-03-22,3667.66
1_18_2013-03-29,3521.53
1_18_2013-04-05,6608.98
1_18_2013-04-12,2176.06
1_18_2013-04-19,203.16
1_18_2013-04-26,65.24
1_18_2013-05-03,51.76
1_18_2013-05-10,108.5
1_18_2013-05-17,21.0
1_18_2013-05-24,13.25
1_18_2013-06-07,4.1
1_18_2013-07-05,77.7
1_19_2012-11-02,1524.39
1_19_2012-11-09,1415.68
1_19_2012-11-16,1415.68
1_19_2012-11-23,1515.8
1_19_2012-11-30,1693.31
1_19_2012-12-07,1724.66
1_19_2012-12-14,1724.66
1_19_2012-12-21,1724.66
1_19_2012-12-28,1086.73
1_19_2013-01-04,866.7
1_19_2013-01-11,762.59
1_19_2013-01-18,955.74
1_19_2013-01-25,1036.21
1_19_2013-02-01,1016.28
1_19_2013-02-08,973.9
1_19_2013-02-15,890.72
1_19_2013-02-22,973.9
1_19_2013-03-01,1179.32
1_19_2013-03-08,1162.5
1_19_2013-03-15,1192.58
1_19_2013-03-22,1036.21
1_19_2013-03-29,1066.64
1_19_2013-04-05,926.34
1_19_2013-04-12,1105.65
1_19_2013-04-19,1071.02
1_19_2013-04-26,1179.32
1_19_2013-05-03,2819.23
1_19_2013-05-10,2693.68
1_19_2013-05-17,2486.73
1_19_2013-05-24,2514.91
1_19_2013-05-31,2323.99
1_19_2013-06-07,2364.85
1_19_2013-06-14,2442.23
1_19_2013-06-21,2177.18
1_19_2013-06-28,2156.76
1_19_2013-07-05,2621.17
1_19_2013-07-12,2465.38
1_19_2013-07-19,2465.38
1_19_2013-07-26,2495.87
1_20_2012-11-02,2993.57
1_20_2012-11-09,3114.61
1_20_2012-11-16,3114.61
1_20_2012-11-23,5425.0
1_20_2012-11-30,4961.82
1_20_2012-12-07,5107.41
1_20_2012-12-14,3289.02
1_20_2012-12-21,4632.03
1_20_2012-12-28,3619.16
1_20_2013-01-04,4184.4
1_20_2013-01-11,4400.73
1_20_2013-01-18,3937.59
1_20_2013-01-25,3737.06
1_20_2013-02-01,4206.91
1_20_2013-02-08,4485.95
1_20_2013-02-15,4584.32
1_20_2013-02-22,4593.9
1_20_2013-03-01,4647.94
1_20_2013-03-08,4272.68
1_20_2013-03-15,4237.4
1_20_2013-03-22,4602.26
1_20_2013-03-29,4602.26
1_20_2013-04-05,4246.85
1_20_2013-04-12,3819.35
1_20_2013-04-19,3948.1
1_20_2013-04-26,4184.4
1_20_2013-05-03,10558.06
1_20_2013-05-10,10937.12
1_20_2013-05-17,10716.19
1_20_2013-05-24,9979.43
1_20_2013-05-31,9732.35
1_20_2013-06-07,10653.77
1_20_2013-06-14,11151.19
1_20_2013-06-21,10937.12
1_20_2013-06-28,9877.5
1_20_2013-07-05,10716.19
1_20_2013-07-12,10937.12
1_20_2013-07-19,11151.19
1_20_2013-07-26,9300.04
1_21_2012-11-02,7608.28
1_21_2012-11-09,7639.97
1_21_2012-11-16,7608.28
1_21_2012-11-23,8816.19
1_21_2012-11-30,7854.17
1_21_2012-12-07,9686.83
1_21_2012-12-14,9686.83
1_21_2012-12-21,12288.92
1_21_2012-12-28,7873.65
1_21_2013-01-04,7085.75
1_21_2013-01-11,7020.8
1_21_2013-01-18,6843.13
1_21_2013-01-25,6843.13
1_21_2013-02-01,7206.04
1_21_2013-02-08,7500.71
1_21_2013-02-15,7206.04
1_21_2013-02-22,6965.28
1_21_2013-03-01,7263.97
1_21_2013-03-08,7161.88
1_21_2013-03-15,7090.86
1_21_2013-03-22,7090.86
1_21_2013-03-29,7085.79
1_21_2013-04-05,7206.04
1_21_2013-04-12,6965.28
1_21_2013-04-19,7020.8
1_21_2013-04-26,6872.63
1_21_2013-05-03,8779.46
1_21_2013-05-10,8356.06
1_21_2013-05-17,8663.33
1_21_2013-05-24,8754.44
1_21_2013-05-31,8364.35
1_21_2013-06-07,8436.15
1_21_2013-06-14,8702.1
1_21_2013-06-21,8467.27
1_21_2013-06-28,8196.96
1_21_2013-07-05,8775.73
1_21_2013-07-12,8538.93
1_21_2013-07-19,8436.15
1_21_2013-07-26,8157.98
1_22_2012-11-02,7821.14
1_22_2012-11-09,7229.94
1_22_2012-11-16,7089.52
1_22_2012-11-23,23550.9
1_22_2012-11-30,19256.51
1_22_2012-12-07,16622.49
1_22_2012-12-14,10538.3
1_22_2012-12-21,18966.62
1_22_2012-12-28,11551.12
1_22_2013-01-04,6566.49
1_22_2013-01-11,6812.85
1_22_2013-01-18,6593.01
1_22_2013-01-25,6593.01
1_22_2013-02-01,9459.27
1_22_2013-02-08,9723.63
1_22_2013-02-15,9812.77
1_22_2013-02-22,9459.27
1_22_2013-03-01,7974.82
1_22_2013-03-08,7393.7
1_22_2013-03-15,7827.86
1_22_2013-03-22,7171.34
1_22_2013-03-29,6592.15
1_22_2013-04-05,6504.93
1_22_2013-04-12,6504.93
1_22_2013-04-19,6217.16
1_22_2013-04-26,5881.8
1_22_2013-05-03,18504.31
1_22_2013-05-10,18867.3
1_22_2013-05-17,18013.58
1_22_2013-05-24,18504.31
1_22_2013-05-31,18871.34
1_22_2013-06-07,18068.64
1_22_2013-06-14,18013.58
1_22_2013-06-21,19129.43
1_22_2013-06-28,19207.21
1_22_2013-07-05,18072.24
1_22_2013-07-12,19207.21
1_22_2013-07-19,19662.48
1_22_2013-07-26,21219.86
1_23_2012-11-02,18031.08
1_23_2012-11-09,16728.31
1_23_2012-11-16,16735.33
1_23_2012-11-23,31642.57
1_23_2012-11-30,27119.98
1_23_2012-12-07,33303.15
1_23_2012-12-14,32907.32
1_23_2012-12-21,51911.82
1_23_2012-12-28,20266.26
1_23_2013-01-04,13915.16
1_23_2013-01-11,13738.46
1_23_2013-01-18,13738.46
1_23_2013-01-25,13738.46
1_23_2013-02-01,15702.02
1_23_2013-02-08,16230.78
1_23_2013-02-15,14858.97
1_23_2013-02-22,15675.16
1_23_2013-03-01,15702.02
1_23_2013-03-08,17406.85
1_23_2013-03-15,17406.85
1_23_2013-03-22,15702.02
1_23_2013-03-29,15702.02
1_23_2013-04-05,13533.91
1_23_2013-04-12,13203.13
1_23_2013-04-19,13056.17
1_23_2013-04-26,13102.65
1_23_2013-05-03,45824.98
1_23_2013-05-10,47497.84
1_23_2013-05-17,45864.51
1_23_2013-05-24,50290.52
1_23_2013-05-31,50290.52
1_23_2013-06-07,47497.84
1_23_2013-06-14,51683.23
1_23_2013-06-21,51733.64
1_23_2013-06-28,51683.23
1_23_2013-07-05,51544.99
1_23_2013-07-12,51882.04
1_23_2013-07-19,51683.23
1_23_2013-07-26,50290.52
1_24_2012-11-02,7490.25
1_24_2012-11-09,7106.74
1_24_2012-11-16,6053.49
1_24_2012-11-23,11354.67
1_24_2012-11-30,8690.17
1_24_2012-12-07,9842.25
1_24_2012-12-14,9673.19
1_24_2012-12-21,12694.74
1_24_2012-12-28,5483.91
1_24_2013-01-04,4628.94
1_24_2013-01-11,3534.93
1_24_2013-01-18,4117.8
1_24_2013-01-25,3534.93
1_24_2013-02-01,5753.71
1_24_2013-02-08,6053.49
1_24_2013-02-15,5974.25
1_24_2013-02-22,5665.22
1_24_2013-03-01,5368.68
1_24_2013-03-08,5109.41
1_24_2013-03-15,4859.54
1_24_2013-03-22,5386.14
1_24_2013-03-29,5164.1
1_24_2013-04-05,4698.04
